Company,dReceievedDate,Isweekday,Isweekend,Country,status,Processed,ProcessedDate,Source,Currency,PostageCosts,Subtotal,PostageCostExTax,CountryTaxRate,Total,Tax,OrderItemSKU,OrderItemTitle,ItemCategory,OrderItemQuantity,ProductSalePrice,OrderItemTaxRate,OrderItemCostExTax,OrderItemCostIncTax,TotalAfterExComsion,DispatchStockUnitCost,TotalWeight,SupPurchasePrice,Profit,Payment Method
1,7/20/2014,0,1,United Kingdom,PAID,TRUE,23/07/2014 22:23,website,GBP,0,12.25,0,0,12.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12.25,0.826938776,12.25,12.25,10.13,0,0,9.8,0.33,Default
2,7/20/2014,0,1,United Kingdom,PAID,TRUE,23/07/2014 22:35,website,GBP,0,12.25,0,0,12.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12.25,0.826938776,12.25,12.25,10.13,0,0,9.8,0.33,Default
3,7/20/2014,0,1,United Kingdom,PAID,TRUE,22/07/2014 15:44,website,GBP,0,13.25,0,0,13.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,13.25,0.826938776,13.25,13.25,10.95693878,0,0,9.8,1.156938776,Default
4,7/21/2014,1,0,United Kingdom,PAID,TRUE,23/07/2014 14:47,website,GBP,0,13.25,0,0,13.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,13.25,0.826938776,13.25,13.25,10.95693878,0,0,9.8,1.156938776,Default
5,7/21/2014,1,0,United Kingdom,PAID,TRUE,25/07/2014 09:00,website,GBP,0,13.25,0,0,13.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,13.25,0.826938776,13.25,13.25,10.95693878,0,0,9.8,1.156938776,Default
6,7/21/2014,1,0,United Kingdom,PAID,TRUE,25/07/2014 08:57,website,GBP,0,13.25,0,0,13.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,13.25,0.826938776,13.25,13.25,10.95693878,0,0,9.8,1.156938776,Default
7,7/22/2014,1,0,United Kingdom,PAID,TRUE,23/07/2014 14:46,website,GBP,0,13.25,0,0,13.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,13.25,0.826938776,13.25,13.25,10.95693878,0,0,9.8,1.156938776,Default
8,7/22/2014,1,0,United Kingdom,PAID,TRUE,26/07/2014 08:56,website,GBP,0,13.25,0,0,13.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,13.25,0.826938776,13.25,13.25,10.95693878,0,0,9.8,1.156938776,Default
9,7/22/2014,1,0,United Kingdom,PAID,TRUE,26/07/2014 09:01,website,GBP,0,13.25,0,0,13.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,13.25,0.826938776,13.25,13.25,10.95693878,0,0,9.8,1.156938776,Default
10,7/22/2014,1,0,United Kingdom,PAID,TRUE,26/07/2014 08:59,website,GBP,0,13.25,0,0,13.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,13.25,0.826938776,13.25,13.25,10.95693878,0,0,9.8,1.156938776,Default
11,7/23/2014,1,0,United Kingdom,PAID,TRUE,28/07/2014 15:40,website,GBP,0,13.25,0,0,13.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,13.25,0.826938776,13.25,13.25,10.95693878,0,0,9.8,1.156938776,Default
12,7/23/2014,1,0,United Kingdom,PAID,TRUE,29/07/2014 14:25,website,GBP,0,13.25,0,0,13.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,13.25,0.826938776,13.25,13.25,10.95693878,0,0,9.8,1.156938776,Default
13,7/23/2014,1,0,United Kingdom,RESEND,TRUE,29/07/2014 14:08,DIRECT,GBP,0,0,0,0,0,0,2401,Interlocking Hearts design cake knife/server set,Default,1,0,0.826938776,0,0,0,0,0,9.8,-9.8,Default
14,7/23/2014,1,0,United Kingdom,RESEND,TRUE,29/07/2014 14:19,DIRECT,GBP,0,0,0,0,0,0,2401,Interlocking Hearts design cake knife/server set,Default,1,0,0.826938776,0,0,0,0,0,9.8,-9.8,Default
15,7/23/2014,1,0,United Kingdom,PAID,TRUE,29/07/2014 14:16,website,GBP,0,14.25,0,0,14.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,14.25,0.826938776,14.25,14.25,11.78387755,0,0,9.8,1.983877551,Default
16,7/24/2014,1,0,United Kingdom,PAID,TRUE,29/07/2014 15:11,website,GBP,0,14.25,0,0,14.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,14.25,0.826938776,14.25,14.25,11.78387755,0,0,9.8,1.983877551,Default
17,7/24/2014,1,0,United Kingdom,PAID,TRUE,29/07/2014 14:15,website,GBP,0,14.25,0,0,14.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,14.25,0.826938776,14.25,14.25,11.78387755,0,0,9.8,1.983877551,Default
18,7/24/2014,1,0,United Kingdom,PAID,TRUE,29/07/2014 14:24,website,GBP,0,14.25,0,0,14.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,14.25,0.826938776,14.25,14.25,11.78387755,0,0,9.8,1.983877551,Default
19,7/25/2014,1,0,United Kingdom,RESEND,TRUE,29/07/2014 14:11,DIRECT,GBP,0,0,0,0,0,0,2401,Interlocking Hearts design cake knife/server set,Default,1,0,0.826938776,0,0,0,0,0,9.8,-9.8,Default
20,7/25/2014,1,0,United Kingdom,RESEND,TRUE,29/07/2014 14:23,DIRECT,GBP,0,0,0,0,0,0,2401,Interlocking Hearts design cake knife/server set,Default,1,0,0.826938776,0,0,0,0,0,9.8,-9.8,Default
21,7/26/2014,0,1,United Kingdom,PAID,TRUE,29/07/2014 14:22,website,GBP,0,14.25,0,0,14.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,14.25,0.826938776,14.25,14.25,11.78387755,0,0,9.8,1.983877551,Default
22,7/26/2014,0,1,United Kingdom,RESEND,TRUE,29/07/2014 14:14,DIRECT,GBP,0,0,0,0,0,0,2401,Interlocking Hearts design cake knife/server set,Default,1,0,0.826938776,0,0,0,0,0,9.8,-9.8,Default
23,7/26/2014,0,1,United Kingdom,RESEND,TRUE,29/07/2014 14:19,DIRECT,GBP,0,0,0,0,0,0,2401,Interlocking Hearts design cake knife/server set,Default,1,0,0.826938776,0,0,0,0,0,9.8,-9.8,Default
24,7/26/2014,0,1,United Kingdom,RESEND,TRUE,29/07/2014 14:21,DIRECT,GBP,0,0,0,0,0,0,2401,Interlocking Hearts design cake knife/server set,Default,1,0,0.826938776,0,0,0,0,0,9.8,-9.8,Default
25,7/26/2014,0,1,United Kingdom,PAID,TRUE,29/07/2014 14:20,website,GBP,0,14.1,0,0,14.1,0,2401,Interlocking Hearts design cake knife/server set,Default,1,14.1,0.826938776,14.1,14.1,11.65983673,0,0,9.8,1.859836735,Default
26,7/26/2014,0,1,United Kingdom,PAID,TRUE,29/07/2014 14:22,website,GBP,0,14.1,0,0,14.1,0,2401,Interlocking Hearts design cake knife/server set,Default,1,14.1,0.826938776,14.1,14.1,11.65983673,0,0,9.8,1.859836735,Default
27,7/28/2014,1,0,United Kingdom,PAID,TRUE,29/07/2014 14:03,website,GBP,0,12.98,0,0,12.98,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12.98,0.826938776,12.98,12.98,10.73366531,0,0,9.8,0.933665306,Default
28,7/29/2014,1,0,United Kingdom,PAID,TRUE,30/07/2014 15:39,website,GBP,0,14.1,0,0,14.1,0,2401,Interlocking Hearts design cake knife/server set,Default,1,14.1,0.826938776,14.1,14.1,11.65983673,0,0,9.8,1.859836735,Default
29,7/29/2014,1,0,United Kingdom,PAID,TRUE,30/07/2014 15:37,website,GBP,0,13.95,0,0,13.95,0,2401,Interlocking Hearts design cake knife/server set,Default,1,13.95,0.826938776,13.95,13.95,11.53579592,0,0,9.8,1.735795918,Default
30,7/30/2014,1,0,United Kingdom,PAID,TRUE,31/07/2014 15:18,website,GBP,0,13.3,0,0,13.3,0,2401,Interlocking Hearts design cake knife/server set,Default,1,13.3,0.826938776,13.3,13.3,10.99828571,0,0,9.8,1.198285714,Default
31,7/30/2014,1,0,United Kingdom,PAID,TRUE,31/07/2014 15:22,website,GBP,0,13.25,0,0,13.25,0,2401,Interlocking Hearts design cake knife/server set,Default,1,13.25,0.826938776,13.25,13.25,10.95693878,0,0,9.8,1.156938776,Default
32,8/1/2014,1,0,United Kingdom,PAID,TRUE,4/8/2014 18:17,website,GBP,0,12.9,0,0,12.9,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12.9,0.826938776,12.9,12.9,10.6675102,0,0,9.8,0.867510204,Default
33,8/1/2014,1,0,United Kingdom,PAID,TRUE,4/8/2014 18:16,website,GBP,0,12.9,0,0,12.9,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12.9,0.826938776,12.9,12.9,10.6675102,0,0,9.8,0.867510204,Default
34,8/5/2014,1,0,United Kingdom,RESEND,TRUE,5/8/2014 15:26,DIRECT,GBP,0,0,0,0,0,0,2401,Interlocking Hearts design cake knife/server set,Default,1,0,0.826938776,0,0,0,0,0,9.8,-9.8,Default
35,8/5/2014,1,0,United Kingdom,PAID,TRUE,7/8/2014 16:40,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
36,8/5/2014,1,0,United Kingdom,PAID,TRUE,7/8/2014 16:40,website,GBP,0,12,0,0,12,0,2401,Interlocking Hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
